 pm25, pm10, o3, no2, so2, co,AQI
155,80,31,7,11,6,155
161,98,31,10,18,6,161
172,83,31,10,10,6,172
163,100,29,11,19,6,163
182,104,31,12,10,8,182
189,99,29,9,8,8,189
190,82,28,7,9,7,190
170,73,28,5,7,5,170
153,81,25,9,8,5,153
165,71,24,9,8,5,165
150,61,22,7,7,6,150
129,62,25,7,8,5,129
140,60,24,8,6,4,140
129,54,27,7,9,4,129
124,65,29,7,10,5,124
152,67,25,7,10,5,152
45,17,11,4,9,3,45
36,25,17,4,6,2,36
36,27,17,4,7,3,36
45,36,22,4,9,3,45
61,28,21,4,10,3,61
55,35,19,4,8,4,55
67,17,19,4,8,3,67
37,21,15,4,8,4,37
44,19,13,4,7,3,44
40,17,8,3,7,3,40
35,19,7,5,8,4,35
36,18,9,3,8,2,36
31,10,9,2,8,3,31
14,8,10,2,7,3,14
14,11,11,2,8,3,14
18,10,14,3,10,3,18
20,17,13,4,8,3,20
27,9,12,2,8,3,27
7,16,11,2,8,2,16
21,12,8,2,8,2,21
18,12,11,2,7,3,18
26,18,14,3,8,2,26
21,22,12,2,8,3,22
31,22,10,2,8,3,31
32,23,10,3,8,3,32
31,27,10,3,9,2,31
35,20,10,3,8,2,35
23,23,11,3,8,3,23
34,23,11,2,8,3,34
33,21,9,2,9,2,33
32,19,11,2,8,2,32
22,23,11,2,9,3,23
30,25,12,3,8,2,30
29,19,11,3,8,3,29
21,24,11,2,9,2,24
24,33,14,3,8,3,33
40,45,16,5,5,4,45
62,29,18,4,8,5,62
52,34,18,4,7,4,52
60,37,20,4,9,4,60
61,29,18,3,8,4,61
39,24,14,4,9,4,39
41,21,14,3,9,3,41
39,20,15,3,7,3,39
40,22,17,4,7,4,40
35,12,10,4,11,4,35
26,14,12,3,9,3,26
29,20,12,3,8,3,29
45,22,13,3,8,3,45
37,35,12,4,7,4,37
53,24,11,3,7,4,53
46,30,17,3,7,3,46
58,36,18,3,10,4,58
73,45,19,3,12,4,73
93,36,22,3,9,4,93
70,12,16,3,8,3,70
20,14,15,3,7,3,20
22,16,9,6,9,3,22
20,18,14,3,7,3,20
37,20,14,2,7,4,37
46,31,10,4,8,4,46
57,29,11,5,8,4,57
56,40,14,5,9,4,56
63,18,16,3,9,3,63
34,15,13,3,7,3,34
26,12,17,3,9,3,26
18,9,11,3,9,4,18
16,13,11,3,10,3,16
21,21,12,4,7,4,21
32,19,13,3,7,3,32
18,29,12,3,8,4,29
34,26,9,3,7,3,34
39,21,11,3,7,3,39
29,15,10,3,8,3,29
19,26,13,3,9,3,26
33,42,12,3,8,4,42
47,52,16,5,10,4,52
60,59,18,4,9,4,60
69,46,22,3,9,4,69
65,30,18,3,8,3,65
53,23,18,3,8,2,53
45,13,17,4,9,2,45
22,12,17,4,8,4,22
20,15,17,3,15,2,20
27, , , , , ,27
28,22,13,4,10,3,28
38,27,16,5,8,3,38
39,24,14,6,9,5,39
46,27,15,4,9,3,46
113,84,37,5,11,4,113
119,70,25,3,10,2,119
109,59,20,2,9,1,109
78,57,17,1,10,3,78
77,59,16,3,11,4,77
76,60,17,3,10,4,76
82,62,23,3,10,4,82
80,53,16,2,13,4,80
70,34,16,2,9,4,70
45,32,12,3,9,3,45
54,41,11,3,10,3,54
57,33,7,3,9,3,57
43,34,18,3,9,3,43
42,16,18,3,9,3,42
15,22,23,4,11,3,23
26,28,20,3,10,3,28
51,42,15,3,10,3,51
74,47,23,3,11,3,74
78,51,20,2,10,3,78
83,43,15,2,10,3,83
64,44,15,3,11,3,64
68,48,21,4,11,3,68
76,47,24,7,12,4,76
86,51,22,5,10,3,86
81,52,20,4,11,3,81
81,57,24,4,11,3,81
85,61,24,4,11,4,85
100,53,24,3,10,3,100
84,49,19,4,10,3,84
81,38,12,3,10,3,81
60,24,11,3,10,3,60
41,22,10,3,11,3,41
31,20,10,3,11,2,31
24,17,11,3,9,2,24
16,15,6,3,9,3,16
23,12,7,3,11,3,23
25,11,8,2,9,2,25
19,14,7,2,9,3,19
24,13,11,2,7,3,24
18,19,11,3,9,3,19
28,16,24,4,9,3,28
35,29,19,5,10,4,35
58,19,12,3,5,1,58
38,13,7,2,7,3,38
14,14,8,2,5,2,14
16,23,11,3,4,3,23
45,26,9,3,8,2,45
45,31,14,4,13,2,45
53,23,14,4,7,3,53
39,24,18,3,8,3,39
52,29,26,4,7,4,52
56,42,28,4,8,4,56
73,46,34,4,11,4,73
87,77,33,5,10,5,87
112,76,32,4,8,3,112
101,59,26,3,12,2,101
74,52,30,4,7,3,74
75,44,21,4,4,3,75
75,45,38,5,7,4,75
71,41,29,4,8,4,71
70,35,31,4,9,4,70
70,31,23,4,9,4,70
64,25,14,6,10,4,64
50,32,18,5,8,3,50
65,30,13,3,8,3,65
55,27,15,3,10,3,55
51,26,21,3,8,3,51
58,43,22,4,8,3,58
63,36,20,4,11,3,63
59,26,19,3,7,3,59
45,16,12,3,8,3,45
24,15,13,3,9,2,24
26,11,19,3,8,3,26
24,16,15,3,8,3,24
27,22,11,3,8,3,27
34,20,11,2,8,3,34
27,29,11,3,7,2,29
42,46,10,3,8,3,46
60,54,13,2,7,2,60
67,50,14,3,9,2,67
64,88,15,4,8,3,88
108,81,12,5,5,3,108
106,57,17,4,10,3,106
86,36,18,4,8,2,86
62,36,17,3,11,2,62
53,27,20,3,4,3,53
45,20,20,3,8,3,45
48,22,18,3,8,3,48
50,41,19,3,6,3,50
73,38,20,4,6,3,73
61,23,15,5,8,3,61
158,69,28,7,9,4,158
145,71,25,8,8,5,145
146,76,27,9,9,5,146
150,49,17,6,8,4,150
94,56,24,6,9,4,94
107,65,28,7,10,5,107
132,70,22,9,8,5,132
141,83,26,10,10,6,141
156,68,25,6,8,5,156
143,69,22,5,9,4,143
149,63,24,4,8,4,149
146,60,27,5,9,4,146
131,58,21,6,8,4,131
126,58,21,6,8,4,126
122,69,26,7,8,4,122
150,64,27,6,10,4,150
140,66,24,7,8,4,140
141,68,22,8,8,5,141
140,54,23,5,8,4,140
112,53,21,5,8,4,112
110,58,25,7,9,4,110
122,56,24,7,10,4,122
114,62,24,6,10,4,114
135,78,23,6,9,5,135
159,76,24,6,8,5,159
156,73,25,7,10,5,156
147,74,26,6,9,5,147
152,57,25,5,11,4,152
115,80,30,6,10,5,115
160,79,33,7,9,5,160
148,73,32,8,11,4,148
136,75,33,9,9,4,136
136,70,35,7,11,3,136
132,75,30,9,14,4,132
135,72,29,7,9,4,135
139,72,34,8,18,4,139
148,68,37,7,10,4,148
148,66,32,7,12,4,148
144,60,32,7,10,3,144
127,41,25,6,9,2,127
81,43,28,7,9,3,81
80,41,29,7,10,3,80
76,44,28,7,12,3,76
89,54,30,7,8,3,89
108,75,27,6,13,4,108
156,68,25,6,10,4,156
144,60,25,5,10,4,144
114,46,24,4,9,3,114
88,61,25,6,12,4,88
112,57,32,7,13,4,112
114,51,29,6,9,5,114
97,56,30,6,9,5,97
103,63,34,8,11,6,103
121,66,35,6,12,5,121
138,47,27,4,11,3,138
88,29,19,5,12,2,88
53,49,27,6,11,3,53
92,55,30,6,14,3,92
102,49,23,5,10,3,102
84,50,28,6,11,3,84
83,53,24,6,11,2,83
85,33,13,4,10,2,85
51,25,11,4,9,2,51
37,22,10,5,10,2,37
30,19,12,4,10,2,30
20,21,9,4,11,2,21
25,23,14,5,11,2,25
27,28,21,5,12,2,28
36,31,21,5,11,3,36
42,31,20,5,11,2,42
48,54,23,5,13,4,54
91,49,23,4,11,3,91
86,52,22,4,10,3,86
83,51,21,4,11,3,83
87,62,24,8,21,3,87
104,69,29,8,24,4,104
112,72,23,5,10,3,112
95,71,25,5,9,3,95
100,79,24,6,9,4,100
115,78,22,6,9,4,115
120,74,27,4,13,3,120
115,75,23,4,9,4,115
120,59,19,3,9,3,120
88,52,20,3,10,4,88
84,63,30,6,14,2,84
101,72,34,6,13,3,101
112,79,34,6,13,4,112
90,66,25,8,9,6,90
117,62,25,8,6,6,117
107,63,21,9,4,6,107
112,66,25,9,8,5,112
113,55,18,10,8,5,113
105,33,27,10,8,5,105
80,39,21,11,15,5,80
82,35,29,10,7,5,82
72,41,19,12,16,5,72
75,25,18,11,10,4,75
58,30,17,11,8,4,58
60,14,16,10,11,5,60
37,22,22,10,10,5,37
49,25,23,11,7,5,49
56,34,20,13,9,6,56
67,37,26,12,11,5,67
75,30,15,12,13,5,75
63,33,22,12,11,4,63
60,24,14,10,9,5,60
48,34,20,10,11,5,48
69,65,34,11,9,7,69
124,95,40,8,15,9,124
168,83,35,8,14,8,168
157,81,35,6,7,8,157
158,74,41,7,8,6,158
146,75,34,7,11,7,146
147,82,39,6,11,7,147
141,76,33,5,8,6,141
122,86,33,5,10,8,122
150,87,40,4,13,7,150
156,82,37,2,13,7,156
154,85,32,7,16,8,154
156,71,30,9,9,7,156
135,65,32,9,11,8,135
139,68,27,11,9,8,139
131,45,26,7,10,7,131
82,76,33,7,9,8,82
147,78,25,6,7,6,147
153,74,31,9,12,5,153
139,79,31,8,15,4,139
149,53,18,7,12,4,149
108,17,12,3,9,3,108
25,32,22,5,10,3,32
48,59,32,5,5,3,59
92,48,32,3,6,3,92
89,57,25,6,9,4,89
110,55,27,4,5,4,110
110,49,20,4,8,4,110
99,39,14,4,4,4,99
80,28,15,5,7,3,80
54,40,19,7,12,3,54
61,53,22,6,10,3,61
90,60,22,7,9,5,90
117,74,24,5,10,4,117
153,63,24,5,8,5,153
129,24,21,2,8,2,129
62,5,18,2,7,1,62
22,34,23,3,7,3,34
71,44,26,5,8,3,71
80,62,30,8,8,4,80
115,72,30,9,9,5,115
139,72,26,9,10,4,139
142,63,25,9,10,4,142
126,63,22,8,18,4,126
122,66,23,7,10,4,122
137,65,27,6,9,3,137
138,55,21,6,8,4,138
103,64,27,7,9,3,103
121,68,28,9,8,3,121
140,65,29,8,9,3,140
140,66,32,8,7,4,140
142,85,30,11,9,5,142
164,85,31,9,10,5,164
161,81,24,10,10,5,161
154,89,31,9,8,6,154
168,72,25,8,8,5,168
146,78,29,9,9,5,146
160,82,24,8,10,5,160
165,93,25,8,8,7,165
172,86,29,8,9,5,172
165,88,32,10,14,5,165
168,96,34,11,13,5,168
173,100,38,11,11,5,173
179,99,35,11,13,5,179
177,98,25,9,10,6,177
177,108,26,11,10,6,177
185,117,28,11,16,7,185
194,118,24,9,10,5,194
195,108,22,9,12,5,195
184,95,35,9,13,6,184
172,94,37,8,11,6,172
171,98,35,8,10,5,171
174,107,37,8,10,6,174
182,87,35,7,9,5,182
167,78,32,7,9,5,167
45,18,18,4,7,4,45
36,10,16,2,7,3,36
22,13,15,2,4,3,22
29,16,14,1,8,3,29
34,23,12,2,8,4,34
39,28,17,2,8,4,39
43,15,17,2,10,4,43
26,9,16,2,7,4,26
20,18,14,2,9,3,20
28,16,16,1,6,3,28
27,20,20,1,4,4,27
36,16,21,1,5,4,36
35,11,15,2,8,3,35
21,8,13,2,8,3,21
18,10,13,1,3,3,18
15,18,16,2,8,4,18
30,19,17,1,4,3,30
27,24,17,1,3,4,27
43,21,16,2,8,4,43
39,21,14,1,9,3,39
37,22,18,1,6,3,37
36,19,12,3,4,4,36
30,29,19,3,6,4,30
51,25,18,2,4,4,51
55,24,24,2,5,4,55
44,16,19,3,6,4,44
20,23,17,3,10,4,23
31,20,19,3,9,4,31
40,19,17,2,9,4,40
39,29,22,3,5,4,39
63,21,15,2,4,4,63
46,12,15,1,4,4,46
19,11,12,1,8,2,19
18,12,12,1,7,3,18
15,13,14,1,9,2,15
20,21,22,1,9,3,22
29,23,19,2,8,3,29
31,23,24,2,5,4,31
32,25,22,2,4,3,32
41,18,17,2,7,3,41
33,14,23,1,4,3,33
21,14,17,2,7,3,21
22,15,16,2,8,3,22
30,21,15,1,5,3,30
41,17,17, ,4,3,41
39,14,15,1,4,3,39
23,12,15,2,8,4,23
21,18,18,1,10,3,21
25,16,15,3,8,3,25
23,12,15,1,10,3,23
23,16,22,1,9,3,23
28,19,19,1,6,3,28
34,25,21,2,5,4,34
52,21,19,2,7,3,52
32,28,23,3,9,66,66
38,33,18,4,8,5,38
52,26,19,4,9,5,52
48,28,19,3,8, ,48
44,26,17,2,5, ,44
39,27,17,3,5, ,39
47,31,20,3,4,5,47
40,41,16,4,6,3,41
55,33,18,3,9,4,55
57,25,15,2,5,4,57
46,17,11,2,5,3,46
33,15,12,2,4,4,33
25,12,11,2,4,4,25
13,16,13,2,5,4,16
30,22,13,2,5,4,30
46,22,13,2,4,4,46
50,31,17,2,5,4,50
69,26,12,7,6,7,69
51,28,16,7,9,5,51
45,17,12,7,7,5,45
36,15,13,7,6,4,36
31,18,16,9,9,4,31
32,19,15,8,11,4,32
40,22,16,9,8,3,40
41,21,21,9,5,5,41
45,25,18,12,12,4,45
45,30,18,8,14,5,45
65,21,16,10,18,4,65
42,22,16,9,11,4,42
35,25,19,11,8,4,35
39,34,21,11,7,4,39
54,26,20,10,10,4,54
44,9,14,9,13,3,44
20,24,19,9,7,4,24
45,45,28,11,11,4,45
76,49,24,11,8,4,76
92,43,25,10,10,5,92
87,48,26,8,14,5,87
98,52,19,1,9, ,98
88,49,13,1,15, ,88
91,47,17,1,9, ,91
89,41,15,1,9, ,89
75,30,10,1,9, ,75
57,26,9,1,8, ,57
42,33,17,1,9, ,42
57,35,22,2,11,500,500
63,36,19,2,6, ,63
68,29,16,1,7, ,68
54,34,18,1,6, ,54
60,37,20,1,6, ,60
64,41,17,1,6, ,64
65,41,19,1,6, ,65
65,34,14,1,6, ,65
60,34,17,1,5, ,60
49,24,15,1,6, ,49
31,23,14,1,6, ,31
32,21,11,1,7, ,32
32,19,10,1,6, ,32
30,22,10,1,5, ,30
37,25,12,1, , ,37
42,24,13,1, , ,42
38,34,19,1, , ,38
49,27,24,2, , ,49
48,29,18,2, , ,48
55,30,18,2, , ,55
40,55,13,5, , ,55
109,43,18,2,13, ,109
84,45,20,1,9, ,84
81,44,17,1,6, ,81
73,48,18,1,5, ,73
69,48,16,1,6, ,69
69,10,5,3,9, ,69
48,38,12,1,3, ,48
59,40,15,2,3, ,59
61,37,14,1,2, ,61
58,31,14,1,3, ,58
50,38,13,2,3, ,50
52,33,11,1,7, ,52
50,33,13,1,4, ,50
50,30,10,1,3, ,50
43,32,14,2,3, ,43
50,30,17,2,4, ,50
82,58,29,6,4, ,82
99,77,32,7,6, ,99
115,73,31,4,4, ,115
81,74,27,4,6,4,81
88,57,24,1,4,4,88
69,51,22,1,3,3,69
59,49,18,1,3,3,59
59,59,157,1,3,3,157
72,54,14,1,5,4,72
76,55,6,2,3,4,76
78,56,8,2,4,4,78
69,53,9,2,7,4,69
72,50,9,2,4,4,72
65,34,5,3,4,3,65
32,36,9,3,2,4,36
50,31,9,4,5,4,50
37,31,11,4,8,4,37
31,33,17,3,7,3,33
37,40,17,2,5,3,40
42,43,19,2,5,3,43
46,45,22,4,5,3,46
48,37,23,4,10,4,48
39,22,24,6,12,4,39
38,12,19,6,11,4,38
25,11,19,4,8,4,25
21,13,18,3,5,3,21
20,23,17,3,7,4,23
45,22,15,3,7,3,45
41,28,16,7,10,4,41
46,16,15,6,8,3,46
36,26,16,5,11,5,36
43,33,18,6,8,5,43
43,40,24,3,5,4,43
58,28,16,4,6,4,58
50,45,19,5,7,5,50
63,29,21,3,10,4,63
54,33,21,4,9,5,54
56,33,19,3,9,5,56
67,18,13,3,10,4,67
41,23,18,2,6,4,41
54,26,19,3,5,5,54
60,30,24,3,9,5,60
70,31,23,4,9,5,70
68,20,16,5,4,5,68
143,55,27,5,11,6,143
117,49,21,5,13,5,117
105,35,14,8,9,5,105
74,50,22,5,7,5,74
107,52,26,4,12,5,107
109,71,29,4,11,5,109
156,60,27,4,9,5,156
139,54,25,5,9,4,139
104,65,23,9,12,5,104
137,73,23,7,11,6,137
150,78,26,7,13,6,150
159,82,30,8,18,7,159
165,79,31,5,9,7,165
165,67,27,4,11,6,165
155,60,24,4,7,5,155
135,55,21,4,9,5,135
122,46,19,3,9,5,122
93,51,19,4,10,5,93
104,50,23,7,6,5,104
91,48,24,6,6,5,91
87,55,26,6,9,5,87
109,69,28,7,11,6,109
148,71,28,6,13,6,148
150,60,31,5,11,5,150
135,54,26,6,9,5,135
108,53,31,7,11,4,108
98,52,22,6,9,4,98
97,46,17,3,8,4,97
87,52,24,5,9,4,87
94,48,24,6,11,3,94
82,38,18,4,11,3,82
68,39,18,4,5,3,68
68,43,18,5,9,4,68
77,44,20,5,7,4,77
83,42,21,5,11,4,83
79,37,16,6,7,4,79
65,34,18,4,14,3,65
59,38,18,4,12,2,59
72,54,20,7,7,5,72
110,50,20,6,8,4,110
103,59,27,5,9,4,103
124,70,29,7,14,5,124
151,72,28,11,18,5,151
147,62,24,7,19,4,147
119,77,39,10,14,6,119
146,52,26,5,7,3,146
101,49,26,6,8,3,101
87,53,25,6,10,3,87
92,57,23,6,8,3,92
116,60,27,5,12,3,116
133,51,22,4,7,3,133
100,47,23,5,13,3,100
83,54,30,6,6,6,83
107,47,26,3,8,5,107
90,42,19,4,7,5,90
75,52,25,5,17,6,75
93,56,26,5,13,7,93
109,50,26,4,14,5,109
92,52,27,4,8,4,92
103,50,27,3,9,3,103
95,53,28,5,16,4,95
111,54,16,4,11,4,111
109,50,22,5,8,4,109
101,29,14,3,9,3,101
68,28,21,2,12,3,68
64,23,13,2,9,4,64
53,21,15,3,14,3,53
42,20,15,3,8,4,42
49,19,14,3,11,3,49
42,16,14,2,10,3,42
49,23,15,2,12,3,49
49,32,14,2,6,3,49
63,40,17,3,18,4,63
75,42,17,3,9,3,75
81,42,17,3,14,4,81
82,43,21,3,14,5,82
91,33,19,3,6,5,91
67,32,21,3,10,4,67
62,26,17,2,16,4,62
55,24,14,1,14,4,55
53,40,15,1,10,3,53
81,45,16,1,12,3,81
79,35,17,1,10,3,79
61,33,17,1,8,26,61
59,40,19,1,8,8,59
75,45,22,1,10,2,75
79,47,25,1,10,2,79
78,47,23,1,9,2,78
80,50,19,1,10,3,80
87,48,26,1,11,1,87
91,54,26,1,11,6,91
69,35,18,5,9,4,69
74,40,20,5,9,6,74
83,29,12,6,6,5,83
69,31,11,4,6,3,69
61,22,18,3,6,4,61
30,20,16,3,6,3,30
30,24,14,5,6,5,30
37,48,26,5,7,6,48
94,55,26,5,7,5,94
112,33,16,5,5,4,112
63,23,17,4,5,4,63
38,22,17,4,5,4,38
52,20,18,3,5,4,52
34,23,15,5,4,5,34
39,19,13,7,5,4,39
36,21,13,5,5,5,36
44,21,18,4,3,4,44
29,24,15,4,2,3,29
30,25,16,4,4,5,30
43,32,16,4,7,6,43
58,45,21,4,8,4,58
98,35,19,5,7,5,98
65,32,18,5,5,5,65
59,26,15,6,5,5,59
45,32,25,5,6,4,45
50,36,21,4,5,5,50
62,58,33,6,5,5,62
113,73,27,9,8,5,113
145,91,27,11,13,7,145
162,97,29,10,10,7,162
168,90,32,10,7,8,168
166,87,34,8,10,7,166
164,87,37,6,9,6,164
162,63,25,5,5,5,162
129,57,27,7,5,5,129
110,56,22,9,5,7,110
106,61,28,6,6,5,106
124,68,29,7,5,7,124
134,71,31,5,7,6,134
148,75,28,6,7,8,148
153,77,23,7,9,7,153
150,58,20,6,9,6,150
116,67,26,6,10,7,116
147,79,29,5,9,6,147
163,71,32,5,8,7,163
152,66,29,6,6,5,152
143,73,28,6,8,5,143
153,78,30,6,6,6,153
161,83,33,6,10,6,161
165,85,33,6,10,9,165
163,76,27,9,11,7,163
153,67,28,6,10,6,153
136,54,26,6,9,5,136
101,66,24,5,11,6,101
139,76,21,6,4,8,139
151,66,21,6,7,5,151
139,71,26,6,10,6,139
147,80,30,6,9,7,147
161,84,28,9,17,6,161
164,89,33,10,12,7,164
168,72,30,8,11,6,168
138,52,24,5,5,4,138
100,44,22,6,9,4,100
78,57,22,10,7,5,78
110,63,25,9,8,5,110
121,55,22,8,7,5,121
107,53,22,6,9,5,107
102,54,23,5,9,4,102
109,61,25,7,10,5,109
123,62,26,7,11,5,123
124,77,26,11,5,7,124
153,74,29,7,8,6,153
149,83,28,7,9,6,149
166,82,23,8,12,7,166
161,81,30,6,6,6,161
164,75,30,5,8,5,164
159,75,29,5,7,5,159
159,81,30,6,8,7,159
162,81,27,5,11,7,162
162,63,20,6,9,5,162
131,58,21,7,9,5,131
116,67,23,6,6,6,116
138,78,31,5,9,6,138
160, , , , , ,160
51,22,12,13,6,4,51
46,30,14,13,6,4,46
54,19,12,13,6,4,54
35,20,11,11,7,4,35
39,34,13,7,9,4,39
51,37,15,7,11,3,51
56,31,13,10,8,2,56
49,29,15,10,8,2,49
46,27,23,11,9,3,46
48,23,12,11,10,2,48
43,25,18,9,11,4,43
45,32,18,1,7,3,45
60,19,16,1,7,3,60
50,21,15,4,7,2,50
45,35,16,7,7,3,45
52,47,19,8,9,3,52
71,35,19,7,6,3,71
58,37,17,5,10,4,58
71,17,18,2,6,3,71
41,20,17,1,4,4,41
53,24,14,4,7,4,53
49,22,10,5,7,3,49
48,21,11,2,4,2,48
39,23,12,10,10,2,39
43,14,10,4,6,3,43
33,28,10,1,6,4,33
47,34,9, ,6,2,47
50,24,8,4,10,4,50
43,21,10,4,7,2,43
33,24,12,1,5,3,33
41,19,12,1,6,3,41
35,12,8, ,6,3,35
30,18,9,1,5,2,30
37,17,11,1,5,2,37
37,20,11,2,12,2,37
31,13,11,2,6,2,31
28,16,10,2,5,3,28
31,18,10,3,5,2,31
31,28,13,4,5,3,31
42,34,14,3,9,3,42
51,42,18,2,7,4,51
59,40,16,2,5,2,59
63, , , , , ,63
76,41,18,3,9,4,76
76,31,18,3,14,3,76
57,29,15,4,9,3,57
62, , , , , ,62
55,40,16,5,5,4,55
57,33,16,6,6,3,57
55,21,15,6,8,3,55
41, , , , , ,41
105,53,21,3,6,5,105
89,41,17,2,4,3,89
69,35,14,2,4,4,69
53,44,22,2,6,5,53
64,52,28,1,6,4,64
71,47,25,2,5,6,71
65,31,14,1,6,4,65
51,35,18,1,5,4,51
68,33,32,1,4,4,68
59,30,23, ,6,3,59
57,38,22,1,6,4,57
60,66,27,3,5,3,66
80,43,23,2,6,2,80
56,53,14,4,8,4,56
74,63,11,9,11,5,74
78,68,12,7,7,4,78
95,49,13,5,4,4,95
67,34,16,5,6,4,67
46,33,13,5,8,2,46
38,32,16,5,10,2,38
40,59,23,8,11,4,59
69,91,17,13,7,4,91
77,49,15,7,5,3,77
62,65,17,8,6,3,65
84,62,23,8,3,4,84
84,57,20,7,7,5,84
74,41,15,6,6,3,74
57,37,15,6,6,2,57
48,48,25,8,6,3,48
60,69,25,10,12,5,69
82,77,35,12,7,7,82
104,135,44,15,8,6,135
141,104,40,9,8,4,141
122,99,38,10,7,4,122
111,91,41,8,10,5,111
129,97,32,8,6,3,129
110,100,33,11,12,7,110
132,79,47,10,14,5,132
112,80,28,8,9,5,112
123,72,23,8,8,4,123
101,84,15,17,12,7,101
114,75,19,8,11,5,114
102,74,20,9,12,4,102
113,67,24,8,11,5,113
98,70,21,8,10,4,98
115,71,22,9,12,5,115
110,67,24,7,8,3,110
100,70,28,8,11,4,100
108,62,20,8,9,5,108
94,60,12,9,8,4,94
77,65,20,7,12,5,77
94,61,17,7,6,5,94
90,65,23,7,7,4,90
102,72,26,7,9,7,102
112,72,26,7,6,4,112
112,66,26,7,6,3,112
106,61,20,7,8,4,106
103,63,22,7,7,3,103
108,62,23,11,9,4,108
97,60,24,7,7,4,97
104,72,21,10,8,6,104
109,68,26,8,7,4,109
114,59,19,8,8,3,114
92,75,25,12,8,7,92
111,65,28,8,10,3,111
